Program,Type,CICS Txn,Copybooks Used,VSAM Files (DD Names),Calls/Transfers To,Called By,BMS Map,Priority Tier,Java Target
COSGN00C,Online,CC00,"COCOM01Y CSUSR01Y COTTL01Y CSDAT01Y CSMSG01Y CSMSG02Y CVTRA05Y CSUSR01Y",USRSEC,"COADM01C(A) COMEN01C(U)",—,COSGN0A,Tier 1,AuthController + AuthService
COMEN01C,Online,CM00,"COCOM01Y COTTL01Y CSDAT01Y CSMSG01Y CSMSG02Y",—,"COACTVWC COCRDLIC COTRN00C COBIL00C CORPT00C",COSGN00C,COMEN01,Tier 1,MenuController (Phase 2)
COADM01C,Online,CA00,"COCOM01Y COTTL01Y CSDAT01Y CSMSG01Y",—,"COUSR00C COUSR01C COUSR02C COUSR03C",COSGN00C,COADM01,Tier 1,AdminMenuController (Phase 2)
COACTVWC,Online,CAVW,"COCOM01Y CVACT01Y CVACT02Y CVACT03Y CVCUS01Y COTTL01Y CSDAT01Y CSMSG01Y","ACCTDAT CARDDAT CUSTDAT XREFFILE","COCRDLIC COCRDUPC COCRDSLC",COMEN01C,COACTVW,Tier 2,"AccountController.getAccount()"
COACTUPC,Online,CAUP,"COCOM01Y CVACT01Y CVACT02Y CVACT03Y CVCUS01Y COTTL01Y CSDAT01Y CSMSG01Y","ACCTDAT CARDDAT CUSTDAT XREFFILE",—,COMEN01C,COACTUP,Tier 2,"AccountController.updateAccount()"
COCRDLIC,Online,CCLI,"COCOM01Y CVACT02Y COTTL01Y CSDAT01Y CSMSG01Y",CARDDAT,COCRDSLC COCRDUPC,COACTVWC,COCRDLI,Tier 2,"CardController.listCards()"
COCRDSLC,Online,CCDL,"COCOM01Y CVACT02Y COTTL01Y CSDAT01Y CSMSG01Y",CARDDAT,—,COCRDLIC,COCRDSL,Tier 2,"CardController.getCard()"
COCRDUPC,Online,CCUP,"COCOM01Y CVACT02Y COTTL01Y CSDAT01Y CSMSG01Y",CARDDAT,—,COCRDLIC,COCRDUP,Tier 2,"CardController.updateCard()"
COTRN00C,Online,CT00,"COCOM01Y CVTRA05Y COTTL01Y CSDAT01Y CSMSG01Y","TRANSACT XREFFILE",COTRN01C COTRN02C,COMEN01C,COTRN00,Tier 3,"TransactionController.listTransactions()"
COTRN01C,Online,CT01,"COCOM01Y CVTRA05Y CVTRA03Y CVTRA04Y COTTL01Y CSDAT01Y CSMSG01Y","TRANSACT TRANTYPE TRANCATG",—,COTRN00C,COTRN01,Tier 3,"TransactionController.getTransaction()"
COTRN02C,Online,CT02,"COCOM01Y CVTRA05Y CVTRA06Y CVACT03Y CVTRA03Y CVTRA04Y COTTL01Y CSDAT01Y CSMSG01Y","DALYTRAN XREFFILE TRANTYPE TRANCATG",—,COTRN00C,COTRN02,Tier 3,"TransactionController.addTransaction()"
COBIL00C,Online,CB00,"COCOM01Y CVACT01Y CVACT03Y CVTRA05Y COTTL01Y CSDAT01Y CSMSG01Y","ACCTDAT XREFFILE TRANSACT",—,COMEN01C,COBIL00,Tier 3,"PaymentController.processPayment()"
CORPT00C,Online,CR00,"COCOM01Y CVTRA05Y COTTL01Y CSDAT01Y CSMSG01Y","TRANSACT XREFFILE",—,COMEN01C,CORPT00,Tier 3,"ReportController.transactionReport()"
COUSR00C,Online,CU00,"COCOM01Y CSUSR01Y COTTL01Y CSDAT01Y CSMSG01Y",USRSEC,"COUSR01C COUSR02C COUSR03C",COADM01C,COUSR00,Tier 4,"UserAdminController.listUsers()"
COUSR01C,Online,CU01,"COCOM01Y CSUSR01Y COTTL01Y CSDAT01Y CSMSG01Y",USRSEC,—,COUSR00C,COUSR01,Tier 4,"UserAdminController.createUser()"
COUSR02C,Online,CU02,"COCOM01Y CSUSR01Y COTTL01Y CSDAT01Y CSMSG01Y",USRSEC,—,COUSR00C,COUSR02,Tier 4,"UserAdminController.updateUser()"
COUSR03C,Online,CU03,"COCOM01Y CSUSR01Y COTTL01Y CSDAT01Y CSMSG01Y",USRSEC,—,COUSR00C,COUSR03,Tier 4,"UserAdminController.deleteUser()"
CBTRN01C,Batch,—,"CVTRA05Y CVTRA06Y CVACT03Y",DALYTRAN XREFFILE,—,POSTTRAN.jcl,—,Tier 5,PostTransactionJob (validate step)
CBTRN02C,Batch,—,"CVTRA05Y CVTRA06Y CVACT01Y CVACT03Y",DALYTRAN XREFFILE ACCTDAT TRANSACT,—,POSTTRAN.jcl,—,Tier 5,PostTransactionJob (post step)
CBACT04C,Batch,—,"CVACT01Y CVTRA01Y CVTRA02Y CVTRA05Y","ACCTDAT TCATBALF DISCGRP TRANSACT",—,INTCALC.jcl,—,Tier 5,InterestCalculationJob
CBSTM03A,Batch,—,"CVACT01Y CVACT03Y CVCUS01Y CVTRA05Y","ACCTDAT XREFFILE CUSTDAT TRANSACT",—,CREASTMT.JCL,—,Tier 5,StatementGenerationJob (text step)
CBSTM03B,Batch,—,"CVACT01Y CVACT03Y CVCUS01Y CVTRA05Y","ACCTDAT XREFFILE CUSTDAT TRANSACT",—,CREASTMT.JCL,—,Tier 5,StatementGenerationJob (html step)
CBTRN03C,Batch,—,CVTRA05Y,TRANSACT,—,TRANREPT.jcl,—,Tier 5,TransactionReportJob
CBEXPORT,Batch,—,"CVACT01Y CVACT02Y CVCUS01Y CVACT03Y CVTRA05Y CSUSR01Y","ACCTDAT CARDDAT CUSTDAT XREFFILE TRANSACT USRSEC",—,CBEXPORT.jcl,—,Tier 5,DataExportJob (Phase 2)
CBIMPORT,Batch,—,"CVACT01Y CVACT02Y CVCUS01Y CVACT03Y CVTRA05Y","CUSTDATA ACCTDATA CARDDATA XREFDATA TRANSACT",—,CBIMPORT.jcl,—,Tier 5,DataImportJob (Phase 2)
