"ID","Type","Name","Documentation"
"id-app","ApplicationComponent","CardDemo Application","CardDemo - Credit Card Management Application migrated from COBOL/CICS to Java Spring Boot"
"id-app-online","ApplicationComponent","Online Services Module","Online transaction processing module - migrated from CICS programs"
"id-app-batch","ApplicationComponent","Batch Processing Module","Batch processing module - migrated from COBOL batch programs"
"id-app-auth","ApplicationComponent","Authorization Module","Card authorization module - migrated from IMS/DB2/MQ programs"
"id-app-trantype","ApplicationComponent","Transaction Type Module","Transaction type management module - migrated from DB2 programs"
"id-app-messaging","ApplicationComponent","Messaging Module","VSAM/MQ messaging module - migrated from VSAM-MQ programs"
"id-svc-signon","ApplicationService","Signon Service","User authentication and session management - migrated from COSGN00C.cbl"
"id-svc-mainmenu","ApplicationService","Main Menu Service","Main menu navigation for regular users - migrated from COMEN01C.cbl"
"id-svc-adminmenu","ApplicationService","Admin Menu Service","Admin menu navigation for admin users - migrated from COADM01C.cbl"
"id-svc-acctview","ApplicationService","Account View Service","View account details - migrated from COACTVWC.cbl"
"id-svc-acctupd","ApplicationService","Account Update Service","Update account information - migrated from COACTUPC.cbl"
"id-svc-cardlist","ApplicationService","Card List Service","List cards for an account - migrated from COCRDLIC.cbl"
"id-svc-cardview","ApplicationService","Card View Service","View card details - migrated from COCRDSLC.cbl"
"id-svc-cardupd","ApplicationService","Card Update Service","Update card information - migrated from COCRDUPC.cbl"
"id-svc-tranlist","ApplicationService","Transaction List Service","List transactions - migrated from COTRN00C.cbl"
"id-svc-tranview","ApplicationService","Transaction View Service","View transaction details - migrated from COTRN01C.cbl"
"id-svc-tranadd","ApplicationService","Transaction Add Service","Add new transactions - migrated from COTRN02C.cbl"
"id-svc-billpay","ApplicationService","Bill Payment Service","Process bill payments - migrated from COBIL00C.cbl"
"id-svc-report","ApplicationService","Report Service","Generate transaction reports - migrated from CORPT00C.cbl"
"id-svc-usermgmt","ApplicationService","User Management Service","CRUD operations for user accounts - migrated from COUSR00C-03C.cbl"
"id-svc-acctfileproc","ApplicationService","Account File Processor Service","Batch account file processing - migrated from CBACT01C.cbl"
"id-svc-cardfileproc","ApplicationService","Card File Processor Service","Batch card file processing - migrated from CBACT02C.cbl"
"id-svc-cardxrefproc","ApplicationService","Card Xref Processor Service","Batch card cross-reference processing - migrated from CBACT03C.cbl"
"id-svc-interestcalc","ApplicationService","Interest Calculator Service","Batch interest calculation - migrated from CBACT04C.cbl"
"id-svc-tranposting","ApplicationService","Transaction Posting Service","Batch transaction posting - migrated from CBTRN02C.cbl"
"id-svc-dailytranpost","ApplicationService","Daily Transaction Posting Service","Daily transaction posting batch - migrated from CBTRN03C.cbl"
"id-svc-tranreport","ApplicationService","Transaction Report Service","Batch transaction reporting - migrated from CBTRN03C.cbl"
