"ID","Key","Value"
"id-app","Language","Java 17"
"id-app","Framework","Spring Boot 3.2.0"
"id-app","Build Tool","Maven 3.x"
"id-app","Database","H2 In-Memory"
"id-app","License","Apache 2.0"
"id-app","Author","Pradeep Sahu @ Cognizant"
"id-app","Source Platform","IBM Mainframe (COBOL/CICS/VSAM)"
"id-app","Target Platform","Java/Spring Boot"
"id-app","Migration Type","Full Rewrite"
"id-app-online","COBOL Source","app/cbl/ (CICS online programs)"
"id-app-online","Original Technology","CICS Transaction Processing"
"id-app-online","Target Technology","Spring Web REST Services"
"id-app-batch","COBOL Source","app/cbl/ (batch programs CB*)"
"id-app-batch","Original Technology","COBOL Batch (JCL)"
"id-app-batch","Target Technology","Spring Batch Services"
"id-app-auth","COBOL Source","app/app-authorization-ims-db2-mq/cbl/"
"id-app-auth","Original Technology","IMS DB/DB2/MQ"
"id-app-auth","Target Technology","Spring Data JPA"
"id-app-trantype","COBOL Source","app/app-transaction-type-db2/cbl/"
"id-app-trantype","Original Technology","DB2 Embedded SQL"
"id-app-trantype","Target Technology","Spring Data JPA"
"id-app-messaging","COBOL Source","app/app-vsam-mq/cbl/"
"id-app-messaging","Original Technology","VSAM/MQ"
"id-app-messaging","Target Technology","Spring Services"
"id-svc-signon","COBOL Program","COSGN00C.cbl"
"id-svc-signon","CICS Transaction","CC00"
"id-svc-signon","Java Class","com.cardemo.service.online.SignonService"
"id-svc-mainmenu","COBOL Program","COMEN01C.cbl"
"id-svc-mainmenu","CICS Transaction","CM00"
"id-svc-mainmenu","Java Class","com.cardemo.service.online.MainMenuService"
"id-svc-adminmenu","COBOL Program","COADM01C.cbl"
"id-svc-adminmenu","Java Class","com.cardemo.service.online.AdminMenuService"
"id-svc-acctview","COBOL Program","COACTVWC.cbl"
"id-svc-acctview","Java Class","com.cardemo.service.online.AccountViewService"
"id-svc-acctupd","COBOL Program","COACTUPC.cbl"
"id-svc-acctupd","Java Class","com.cardemo.service.online.AccountUpdateService"
"id-svc-cardlist","COBOL Program","COCRDLIC.cbl"
"id-svc-cardlist","Java Class","com.cardemo.service.online.CardListService"
"id-svc-cardview","COBOL Program","COCRDSLC.cbl"
"id-svc-cardview","Java Class","com.cardemo.service.online.CardViewService"
"id-svc-cardupd","COBOL Program","COCRDUPC.cbl"
"id-svc-cardupd","Java Class","com.cardemo.service.online.CardUpdateService"
