"ID","Type","Name","Documentation","Source","Target"
"rel-001","CompositionRelationship","","Online Services Module is part of CardDemo Application","id-app","id-app-online"
"rel-002","CompositionRelationship","","Batch Processing Module is part of CardDemo Application","id-app","id-app-batch"
"rel-003","CompositionRelationship","","Authorization Module is part of CardDemo Application","id-app","id-app-auth"
"rel-004","CompositionRelationship","","Transaction Type Module is part of CardDemo Application","id-app","id-app-trantype"
"rel-005","CompositionRelationship","","Messaging Module is part of CardDemo Application","id-app","id-app-messaging"
"rel-006","CompositionRelationship","","Signon Service is part of Online Services Module","id-app-online","id-svc-signon"
"rel-007","CompositionRelationship","","Main Menu Service is part of Online Services Module","id-app-online","id-svc-mainmenu"
"rel-008","CompositionRelationship","","Admin Menu Service is part of Online Services Module","id-app-online","id-svc-adminmenu"
"rel-009","CompositionRelationship","","Account View Service is part of Online Services Module","id-app-online","id-svc-acctview"
"rel-010","CompositionRelationship","","Account Update Service is part of Online Services Module","id-app-online","id-svc-acctupd"
"rel-011","CompositionRelationship","","Card List Service is part of Online Services Module","id-app-online","id-svc-cardlist"
"rel-012","CompositionRelationship","","Card View Service is part of Online Services Module","id-app-online","id-svc-cardview"
"rel-013","CompositionRelationship","","Card Update Service is part of Online Services Module","id-app-online","id-svc-cardupd"
"rel-014","CompositionRelationship","","Transaction List Service is part of Online Services Module","id-app-online","id-svc-tranlist"
"rel-015","CompositionRelationship","","Transaction View Service is part of Online Services Module","id-app-online","id-svc-tranview"
"rel-016","CompositionRelationship","","Transaction Add Service is part of Online Services Module","id-app-online","id-svc-tranadd"
"rel-017","CompositionRelationship","","Bill Payment Service is part of Online Services Module","id-app-online","id-svc-billpay"
"rel-018","CompositionRelationship","","Report Service is part of Online Services Module","id-app-online","id-svc-report"
"rel-019","CompositionRelationship","","User Management Service is part of Online Services Module","id-app-online","id-svc-usermgmt"
"rel-020","CompositionRelationship","","Account File Processor is part of Batch Processing Module","id-app-batch","id-svc-acctfileproc"
"rel-021","CompositionRelationship","","Card File Processor is part of Batch Processing Module","id-app-batch","id-svc-cardfileproc"
"rel-022","CompositionRelationship","","Card Xref Processor is part of Batch Processing Module","id-app-batch","id-svc-cardxrefproc"
"rel-023","CompositionRelationship","","Interest Calculator is part of Batch Processing Module","id-app-batch","id-svc-interestcalc"
"rel-024","CompositionRelationship","","Transaction Posting is part of Batch Processing Module","id-app-batch","id-svc-tranposting"
"rel-025","CompositionRelationship","","Daily Transaction Posting is part of Batch Processing Module","id-app-batch","id-svc-dailytranpost"
"rel-026","CompositionRelationship","","Transaction Report is part of Batch Processing Module","id-app-batch","id-svc-tranreport"
"rel-027","CompositionRelationship","","Customer File Processor is part of Batch Processing Module","id-app-batch","id-svc-custfileproc"
"rel-028","CompositionRelationship","","Data Export is part of Batch Processing Module","id-app-batch","id-svc-dataexport"
"rel-029","CompositionRelationship","","Data Import is part of Batch Processing Module","id-app-batch","id-svc-dataimport"
"rel-030","CompositionRelationship","","Card Authorization is part of Authorization Module","id-app-auth","id-svc-cardauth"
"rel-031","CompositionRelationship","","Authorization Summary is part of Authorization Module","id-app-auth","id-svc-authsummary"
"rel-032","CompositionRelationship","","Authorization Detail is part of Authorization Module","id-app-auth","id-svc-authdetail"
"rel-033","CompositionRelationship","","Authorization Detail View is part of Authorization Module","id-app-auth","id-svc-authdetailview"
"rel-034","CompositionRelationship","","Authorization Batch is part of Authorization Module","id-app-auth","id-svc-authbatch"
"rel-035","CompositionRelationship","","Transaction Type List is part of Transaction Type Module","id-app-trantype","id-svc-trantypelist"
"rel-036","CompositionRelationship","","Transaction Type Update is part of Transaction Type Module","id-app-trantype","id-svc-trantypeupd"
"rel-037","CompositionRelationship","","Transaction Type Batch Update is part of Transaction Type Module","id-app-trantype","id-svc-trantypebatch"
"rel-038","CompositionRelationship","","Account Message Service is part of Messaging Module","id-app-messaging","id-svc-acctmsg"
"rel-039","CompositionRelationship","","Date Service is part of Messaging Module","id-app-messaging","id-svc-date"
"rel-040","ServingRelationship","","Account Controller serves Account View Service","id-ctrl-account","id-svc-acctview"
"rel-041","ServingRelationship","","Account Controller serves Account Update Service","id-ctrl-account","id-svc-acctupd"
"rel-042","ServingRelationship","","Card Controller serves Card List Service","id-ctrl-card","id-svc-cardlist"
"rel-043","ServingRelationship","","Card Controller serves Card View Service","id-ctrl-card","id-svc-cardview"
"rel-044","ServingRelationship","","Card Controller serves Card Update Service","id-ctrl-card","id-svc-cardupd"
"rel-045","ServingRelationship","","Transaction Controller serves Transaction List Service","id-ctrl-transaction","id-svc-tranlist"
"rel-046","ServingRelationship","","Transaction Controller serves Transaction View Service","id-ctrl-transaction","id-svc-tranview"
"rel-047","ServingRelationship","","Transaction Controller serves Transaction Add Service","id-ctrl-transaction","id-svc-tranadd"
"rel-048","ServingRelationship","","Signon Controller serves Signon Service","id-ctrl-signon","id-svc-signon"
"rel-049","ServingRelationship","","User Controller serves User Management Service","id-ctrl-user","id-svc-usermgmt"
"rel-050","ServingRelationship","","Report Controller serves Report Service","id-ctrl-report","id-svc-report"
"rel-051","ServingRelationship","","Authorization Controller serves Card Authorization Service","id-ctrl-authorization","id-svc-cardauth"
"rel-052","ServingRelationship","","Authorization Controller serves Authorization Summary Service","id-ctrl-authorization","id-svc-authsummary"
"rel-053","ServingRelationship","","Transaction Type Controller serves Transaction Type List Service","id-ctrl-trantype","id-svc-trantypelist"
"rel-054","ServingRelationship","","Transaction Type Controller serves Transaction Type Update Service","id-ctrl-trantype","id-svc-trantypeupd"
"rel-055","AccessRelationship","read/write","Account View Service accesses AccountRecord","id-svc-acctview","id-entity-account"
"rel-056","AccessRelationship","read/write","Account Update Service accesses AccountRecord","id-svc-acctupd","id-entity-account"
"rel-057","AccessRelationship","read","Card List Service accesses CardRecord","id-svc-cardlist","id-entity-card"
"rel-058","AccessRelationship","read","Card View Service accesses CardRecord","id-svc-cardview","id-entity-card"
"rel-059","AccessRelationship","read/write","Card Update Service accesses CardRecord","id-svc-cardupd","id-entity-card"
"rel-060","AccessRelationship","read","Transaction List Service accesses TransactionRecord","id-svc-tranlist","id-entity-transaction"
"rel-061","AccessRelationship","read","Transaction View Service accesses TransactionRecord","id-svc-tranview","id-entity-transaction"
"rel-062","AccessRelationship","write","Transaction Add Service accesses TransactionRecord","id-svc-tranadd","id-entity-transaction"
"rel-063","AccessRelationship","read/write","Bill Payment Service accesses AccountRecord","id-svc-billpay","id-entity-account"
"rel-064","AccessRelationship","write","Bill Payment Service accesses TransactionRecord","id-svc-billpay","id-entity-transaction"
"rel-065","AccessRelationship","read","Report Service accesses TransactionRecord","id-svc-report","id-entity-transaction"
"rel-066","AccessRelationship","read/write","User Management Service accesses UserSecurityRecord","id-svc-usermgmt","id-entity-user"
"rel-067","AccessRelationship","read","Signon Service accesses UserSecurityRecord","id-svc-signon","id-entity-user"
"rel-068","AccessRelationship","read/write","Account File Processor accesses AccountRecord","id-svc-acctfileproc","id-entity-account"
"rel-069","AccessRelationship","read/write","Card File Processor accesses CardRecord","id-svc-cardfileproc","id-entity-card"
"rel-070","AccessRelationship","read/write","Card Xref Processor accesses CardXrefRecord","id-svc-cardxrefproc","id-entity-cardxref"
"rel-071","AccessRelationship","read/write","Interest Calculator accesses AccountRecord","id-svc-interestcalc","id-entity-account"
"rel-072","AccessRelationship","read","Interest Calculator accesses TransactionCategoryBalanceRecord","id-svc-interestcalc","id-entity-trancatbal"
"rel-073","AccessRelationship","read","Interest Calculator accesses DisclosureGroupRecord","id-svc-interestcalc","id-entity-discgroup"
"rel-074","AccessRelationship","write","Interest Calculator accesses TransactionRecord","id-svc-interestcalc","id-entity-transaction"
"rel-075","AccessRelationship","read/write","Transaction Posting accesses TransactionRecord","id-svc-tranposting","id-entity-transaction"
"rel-076","AccessRelationship","read/write","Daily Transaction Posting accesses DailyTransactionRecord","id-svc-dailytranpost","id-entity-dailytran"
"rel-077","AccessRelationship","read","Transaction Report accesses TransactionRecord","id-svc-tranreport","id-entity-transaction"
"rel-078","AccessRelationship","read/write","Customer File Processor accesses CustomerRecord","id-svc-custfileproc","id-entity-customer"
"rel-079","AccessRelationship","read","Card Authorization accesses CardRecord","id-svc-cardauth","id-entity-card"
"rel-080","AccessRelationship","read","Card Authorization accesses AccountRecord","id-svc-cardauth","id-entity-account"
"rel-081","AccessRelationship","read","Card Authorization accesses CardXrefRecord","id-svc-cardauth","id-entity-cardxref"
"rel-082","AccessRelationship","read/write","Transaction Type List accesses TransactionTypeRecord","id-svc-trantypelist","id-entity-trantype"
"rel-083","AccessRelationship","read/write","Transaction Type Update accesses TransactionTypeRecord","id-svc-trantypeupd","id-entity-trantype"
"rel-084","AccessRelationship","read/write","Transaction Type Batch Update accesses TransactionTypeRecord","id-svc-trantypebatch","id-entity-trantype"
"rel-085","AccessRelationship","read/write","Account Message Service accesses AccountRecord","id-svc-acctmsg","id-entity-account"
"rel-086","ServingRelationship","","AccountRepository serves Account View Service","id-repo-account","id-svc-acctview"
"rel-087","ServingRelationship","","AccountRepository serves Account Update Service","id-repo-account","id-svc-acctupd"
"rel-088","ServingRelationship","","CardRepository serves Card List Service","id-repo-card","id-svc-cardlist"
"rel-089","ServingRelationship","","CardRepository serves Card View Service","id-repo-card","id-svc-cardview"
"rel-090","ServingRelationship","","CardRepository serves Card Update Service","id-repo-card","id-svc-cardupd"
